template
1,1
1,2
1,3
1,4
1,5
80,6
25,7
23,8
57,9
12,10
99,11
34,12
76,13
5,14
48,15
67,16
3,17
88,18
41,19
60,20
14,21
72,22
8,23
95,24
27,25
53,26
19,27
81,28
36,29
62,30
13,31
44,32
78,33
21,34
55,35
17,36
90,37
39,38
68,39
11,40
73,41
6,42
97,43
29,44
51,45
22,46
84,47
37,48
65,49
15,50
92,51
33,52
70,53
18,54
59,55
12,56
85,57
41,58
63,59
24,60
79,61
16,62
54,63
28,64
88,65
35,66
61,67
19,68
76,69
27,70
58,71
14,72
90,73
39,74
67,75
21,76
82,77
31,78
60,79
17,80
73,81
25,82
95,83
44,84
69,85
13,86
87,87
38,88
56,89
22,90
80,91
29,92
66,93
18,94
91,95
36,96
62,97
15,98
77,99
24,100
84,101
41,102
53,103
19,104
98,105
32,106
71,107
27,108
89,109
34,110
65,111
12,112
